DATE,ANNA426MFG
2005-07-01,20.357624967770104
2005-08-01,21.905821340155395
2005-09-01,22.171704912456196
2005-10-01,22.2823581954046
2005-11-01,22.235769066188503
2005-12-01,22.145742691097304
2006-01-01,21.9652573945247
2006-02-01,21.7437168942105
2006-03-01,21.2427887219067
2006-04-01,21.7955834765239
2006-05-01,21.1213114422782
2006-06-01,21.2534562200597
2006-07-01,19.621668155596602
2006-08-01,21.045044645936898
2006-09-01,20.9326542091956
2006-10-01,20.608706026362604
2006-11-01,20.8494134754372
2006-12-01,20.1564530666864
2007-01-01,19.9389359233038
2007-02-01,19.7522228417826
2007-03-01,19.6795468144753
2007-04-01,19.4390635390464
2007-05-01,19.2678950249928
2007-06-01,19.1875887545227
2007-07-01,18.3962709048987
2007-08-01,18.704748512677398
2007-09-01,18.6228986042813
